Crop,State,Season,Area,Rainfall,Temperature,Humidity,Soil pH,Nitrogen,Phosphorus,Potassium,Fertilizer,Yield
Maize,Karnataka,Zaid,6.08,925.7,32.2,62.8,6.46,99.0,24.0,143.6,150.4,4.68
Sugarcane,Andhra Pradesh,Rabi,4.31,1076.7,34.7,71.3,6.34,94.6,49.1,99.9,152.6,96.59
Potato,Maharashtra,Kharif,2.89,1038.7,16.6,79.6,6.19,106.0,94.5,91.6,59.1,
Cotton,Punjab,Zaid,3.21,648.2,20.4,85.7,5.9,127.9,15.0,104.6,123.0,2.61
Groundnut,West Bengal,Rabi,5.83,1037.8,26.2,68.0,7.31,178.2,55.5,102.5,179.0,3.18
Maize,West Bengal,Zaid,6.1,955.7,26.2,58.4,6.12,123.2,58.3,104.7,56.2,4.81
Potato,West Bengal,Kharif,4.96,1385.8,28.5,69.6,6.36,113.3,44.6,48.7,99.6,28.39
Pulses,Haryana,Zaid,6.47,310.6,30.4,67.8,6.13,177.9,56.5,114.7,140.9,1.86
Maize,Madhya Pradesh,Zaid,4.83,540.2,33.1,60.7,7.01,112.7,45.5,138.9,127.4,4.38
Cotton,Haryana,Zaid,8.16,835.1,29.3,65.0,7.76,109.4,39.6,111.0,193.6,2.46
Wheat,Andhra Pradesh,Zaid,5.16,634.9,22.6,68.1,6.05,138.3,46.8,127.0,205.8,4.07
Sugarcane,Madhya Pradesh,Zaid,5.73,901.8,34.6,91.1,5.8,156.0,46.6,129.4,122.9,80.77
Wheat,Andhra Pradesh,Zaid,1.02,553.0,32.0,61.2,5.44,160.7,66.3,77.4,97.8,3.58
Cotton,Madhya Pradesh,Zaid,8.38,1426.6,31.2,66.1,6.7,184.0,40.5,89.6,111.4,2.01
Sugarcane,Madhya Pradesh,Rabi,5.94,1081.9,22.1,,6.85,40.0,73.5,128.8,194.8,92.64
Potato,Madhya Pradesh,Zaid,4.01,516.5,34.0,59.8,5.88,91.4,74.9,130.9,155.4,24.7
Rice,Andhra Pradesh,Kharif,5.86,964.3,22.7,71.8,6.26,102.8,,172.9,85.0,4.27
Maize,Tamil Nadu,Kharif,6.93,845.3,17.0,,6.75,87.9,70.1,69.1,97.0,5.29
Cotton,West Bengal,Kharif,5.2,1530.0,17.8,66.6,6.13,102.7,65.4,90.6,103.7,2.59
Potato,Gujarat,Rabi,1.67,681.5,30.8,80.5,6.64,99.0,56.8,92.1,117.1,23.09
Pulses,Punjab,Rabi,1.16,815.0,25.9,72.3,6.27,152.6,62.2,168.7,144.0,2.1
Cotton,Punjab,Zaid,10.13,860.7,29.2,73.3,6.46,126.5,45.4,152.7,167.6,2.62
Pulses,Uttar Pradesh,Rabi,2.58,803.0,33.5,66.9,6.91,109.9,29.9,137.1,111.8,1.67
Pulses,Tamil Nadu,Zaid,2.9,765.0,22.5,59.4,5.88,71.9,54.3,144.2,206.3,1.6
Sugarcane,Karnataka,Kharif,1.46,1283.8,25.4,53.8,5.45,180.3,43.0,97.9,205.6,92.82
Wheat,Uttar Pradesh,Kharif,1.06,743.1,19.0,71.3,6.08,114.1,59.7,168.7,127.1,4.73
Pulses,Tamil Nadu,Kharif,6.31,556.7,18.6,67.3,5.65,127.1,47.1,57.5,167.3,1.89
Pulses,Gujarat,Kharif,5.35,863.9,23.3,71.7,6.75,180.3,85.6,119.5,199.4,2.02
Rice,Madhya Pradesh,Zaid,3.91,1349.4,22.8,59.8,6.65,110.5,59.2,150.6,174.6,3.96
Wheat,Uttar Pradesh,Zaid,1.33,878.1,25.9,65.5,6.4,108.0,36.9,92.8,230.7,4.38
Rice,Gujarat,Kharif,5.25,830.8,31.0,67.6,5.69,89.4,50.2,130.2,143.1,4.48
Sugarcane,Tamil Nadu,Zaid,6.07,1158.7,30.5,75.6,5.72,89.7,52.4,59.4,180.4,83.25
Cotton,Karnataka,Kharif,2.51,917.7,15.4,59.3,6.63,101.3,54.1,116.3,190.8,2.47
Maize,Maharashtra,Rabi,6.42,840.2,17.2,68.0,5.72,162.7,62.7,116.6,150.2,5.26
Wheat,Maharashtra,Zaid,2.39,797.6,21.1,62.1,7.56,106.7,36.0,58.2,180.5,3.69
Rice,Haryana,Rabi,5.86,985.7,38.8,62.2,6.71,167.8,51.6,73.7,88.9,4.94
Pulses,Andhra Pradesh,Kharif,1.2,256.8,26.4,65.7,7.23,49.7,99.5,112.4,187.7,1.79
